case_id,activity,timestamp,owner,detail,amount_inr,entity,po_present,grn_present,exception_type,invoice_status
AP-2001,Invoice received,2026-06-01T15:00:00,AP intake,Invoice received from Zenith Services,560000,Asteron GCC,Yes,Yes,None,Open
AP-2001,Three-way match,2026-06-01T22:00:00,AP analyst,PO and GRN matched on first pass,560000,Asteron GCC,Yes,Yes,None,Open
AP-2001,Approval requested,2026-06-02T04:00:00,Workflow,Approval routed automatically,560000,Asteron GCC,Yes,Yes,None,Pending approval
AP-2001,Approved,2026-06-02T14:00:00,Budget owner,Approved within policy SLA,560000,Asteron GCC,Yes,Yes,None,Approved
AP-2001,Payment ready,2026-06-02T22:00:00,AP controller,Scheduled for payment run,560000,Asteron GCC,Yes,Yes,None,Payment ready
AP-2002,Invoice received,2026-06-01T18:00:00,AP intake,Invoice received from BluePeak Systems,95000,Asteron India,Yes,Yes,None,Open
AP-2002,Three-way match,2026-06-02T01:00:00,AP analyst,PO and GRN matched on first pass,95000,Asteron India,Yes,Yes,None,Open
AP-2002,Approval requested,2026-06-02T07:00:00,Workflow,Approval routed automatically,95000,Asteron India,Yes,Yes,None,Pending approval
AP-2002,Approved,2026-06-02T17:00:00,Budget owner,Approved within policy SLA,95000,Asteron India,Yes,Yes,None,Approved
AP-2002,Payment ready,2026-06-03T01:00:00,AP controller,Scheduled for payment run,95000,Asteron India,Yes,Yes,None,Payment ready
AP-2003,Invoice received,2026-06-01T21:00:00,AP intake,Invoice received from Nova Components,265000,Asteron UK,Yes,Yes,None,Open
AP-2003,Three-way match,2026-06-02T04:00:00,AP analyst,PO and GRN matched on first pass,265000,Asteron UK,Yes,Yes,None,Open
AP-2003,Approval requested,2026-06-02T10:00:00,Workflow,Approval routed automatically,265000,Asteron UK,Yes,Yes,None,Pending approval
AP-2003,Approved,2026-06-02T20:00:00,Budget owner,Approved within policy SLA,265000,Asteron UK,Yes,Yes,None,Approved
AP-2003,Payment ready,2026-06-03T04:00:00,AP controller,Scheduled for payment run,265000,Asteron UK,Yes,Yes,None,Payment ready
AP-2004,Invoice received,2026-06-02T00:00:00,AP intake,Invoice received from Harbor Logistics,560000,Asteron GCC,Yes,Yes,None,Open
AP-2004,Three-way match,2026-06-02T07:00:00,AP analyst,PO and GRN matched on first pass,560000,Asteron GCC,Yes,Yes,None,Open
AP-2004,Approval requested,2026-06-02T13:00:00,Workflow,Approval routed automatically,560000,Asteron GCC,Yes,Yes,None,Pending approval
AP-2004,Approved,2026-06-02T23:00:00,Budget owner,Approved within policy SLA,560000,Asteron GCC,Yes,Yes,None,Approved
AP-2004,Payment ready,2026-06-03T07:00:00,AP controller,Scheduled for payment run,560000,Asteron GCC,Yes,Yes,None,Payment ready
AP-2005,Invoice received,2026-06-02T03:00:00,AP intake,Invoice received from Maple Industrial,95000,Asteron India,Yes,Yes,None,Open
AP-2005,Three-way match,2026-06-02T10:00:00,AP analyst,PO and GRN matched on first pass,95000,Asteron India,Yes,Yes,None,Open
AP-2005,Approval requested,2026-06-02T16:00:00,Workflow,Approval routed automatically,95000,Asteron India,Yes,Yes,None,Pending approval
AP-2005,Approved,2026-06-03T02:00:00,Budget owner,Approved within policy SLA,95000,Asteron India,Yes,Yes,None,Approved
AP-2005,Payment ready,2026-06-03T10:00:00,AP controller,Scheduled for payment run,95000,Asteron India,Yes,Yes,None,Payment ready
AP-2006,Invoice received,2026-06-02T06:00:00,AP intake,Invoice received from Zenith Services,265000,Asteron UK,Yes,Yes,None,Open
AP-2006,Three-way match,2026-06-02T13:00:00,AP analyst,PO and GRN matched on first pass,265000,Asteron UK,Yes,Yes,None,Open
AP-2006,Approval requested,2026-06-02T19:00:00,Workflow,Approval routed automatically,265000,Asteron UK,Yes,Yes,None,Pending approval
AP-2006,Approved,2026-06-03T05:00:00,Budget owner,Approved within policy SLA,265000,Asteron UK,Yes,Yes,None,Approved
AP-2006,Payment ready,2026-06-03T13:00:00,AP controller,Scheduled for payment run,265000,Asteron UK,Yes,Yes,None,Payment ready
AP-2007,Invoice received,2026-06-02T09:00:00,AP intake,Invoice received from BluePeak Systems,560000,Asteron GCC,Yes,Yes,None,Open
AP-2007,Three-way match,2026-06-02T16:00:00,AP analyst,PO and GRN matched on first pass,560000,Asteron GCC,Yes,Yes,None,Open
AP-2007,Approval requested,2026-06-02T22:00:00,Workflow,Approval routed automatically,560000,Asteron GCC,Yes,Yes,None,Pending approval
AP-2007,Approved,2026-06-03T08:00:00,Budget owner,Approved within policy SLA,560000,Asteron GCC,Yes,Yes,None,Approved
AP-2007,Payment ready,2026-06-03T16:00:00,AP controller,Scheduled for payment run,560000,Asteron GCC,Yes,Yes,None,Payment ready
AP-2008,Invoice received,2026-06-02T12:00:00,AP intake,Invoice received from Nova Components,95000,Asteron India,Yes,Yes,None,Open
AP-2008,Three-way match,2026-06-02T19:00:00,AP analyst,PO and GRN matched on first pass,95000,Asteron India,Yes,Yes,None,Open
AP-2008,Approval requested,2026-06-03T01:00:00,Workflow,Approval routed automatically,95000,Asteron India,Yes,Yes,None,Pending approval
AP-2008,Approved,2026-06-03T11:00:00,Budget owner,Approved within policy SLA,95000,Asteron India,Yes,Yes,None,Approved
AP-2008,Payment ready,2026-06-03T19:00:00,AP controller,Scheduled for payment run,95000,Asteron India,Yes,Yes,None,Payment ready
AP-2009,Invoice received,2026-06-02T15:00:00,AP intake,Invoice received from Harbor Logistics,265000,Asteron UK,Yes,Yes,None,Open
AP-2009,Three-way match,2026-06-02T22:00:00,AP analyst,PO and GRN matched on first pass,265000,Asteron UK,Yes,Yes,None,Open
AP-2009,Approval requested,2026-06-03T04:00:00,Workflow,Approval routed automatically,265000,Asteron UK,Yes,Yes,None,Pending approval
AP-2009,Approved,2026-06-03T14:00:00,Budget owner,Approved within policy SLA,265000,Asteron UK,Yes,Yes,None,Approved
AP-2009,Payment ready,2026-06-03T22:00:00,AP controller,Scheduled for payment run,265000,Asteron UK,Yes,Yes,None,Payment ready
