sku_id,product_id,product_code,price,product_name,description,category,brand,rating
1,P00001,EL-00001,148196.6,"Apple iPhone 15 Pro (Black Titanium, 256 GB)","A17 Pro Chip, 6 Core Processor",Electronics,Apple,4.8
2,P00002,EL-00002,2807.04,Apple USB-C Power Adapter,"20W, Fast Charging, Lightweight Design",Electronics,Apple,4.7
3,P00003,EL-00003,113429.3,Samsung Galaxy S25 Ultra,"Snapdragon 8 Elite processor, custom-tuned for Galaxy.",Electronics,Samsung,4.9
4,P00004,EL-00004,15521.41,Samsung Galaxy Buds 3 Pro,Crystal clear 24bit/96kHz studio quality sound.,Electronics,Samsung,4.0
5,P00005,EL-00005,234023.33,Dell XPS 15 Laptop,"15.6"" OLED UHD+ screen with high resolution and HDR support.",Electronics,Dell,4.4
6,P00006,EL-00006,4244.65,Dell EcoLoop Urban Backpack,"Made from 100% recycled plastic, 420D fabric.",Electronics,Dell,4.1
7,P00007,EL-00007,16787.27,HP Smart Tank Printer,Integrated ink tanks and automated ink detection.,Electronics,HP,4.9
8,P00008,EL-00008,901.44,HP Ink Cartridge,"Black, High-yield for Smart Tank printers.",Electronics,HP,4.7
9,P00009,FA-00009,2100.7,Peter England Men's Kurta,"Linen Blend, perfect for casual occasions.",Fashion,Peter England,4.9
10,P00010,FA-00010,1082.66,Manyavar Pajama Set,Regal color with pure Chanderi fabric for a rich look.,Fashion,Manyavar,4.3
11,P00011,GR-00011,323.36,"Barilla Penne Pasta, 454 gm","Classic penne shape, contains Wheat.",Groceries,Barilla,4.7
12,P00012,GR-00012,371.16,"Barilla Pasta Sauce, 400 gm - Arrabbiata",Made from high-quality Italian tomatoes and chillies.,Groceries,Barilla,4.3
13,P00013,PE-00013,165.9,Colgate Antibacterial Toothpaste,Provides 12-Hour Protection for your teeth and gums.,Personal Care,Colgate,4.7
14,P00014,PE-00014,1942.11,Oral-B Cross Action Electric Toothbrush,"IPX7 water resistant, can be safely used in the shower.",Personal Care,Oral-B,4.4
15,P00015,PE-00015,666.82,"Head & Shoulders Anti Dandruff Shampoo, 750ml",Effectively removes dandruff and prevents it from coming back.,Personal Care,Head & Shoulders,4.5
16,P00016,PE-00016,432.61,"Pantene Silky Smooth Conditioner, 500ml",Treats severely damaged hair that needs deep conditioning.,Personal Care,Pantene,4.8
17,P00017,PE-00017,566.68,"Pampers Baby Diapers, Pack of 2",Wetness indicator which turns from Yellow to Blue.,Personal Care,Pampers,4.7
