customer_id,customer_name,invoice_id,invoice_date,due_date,amount_usd,dispute_flag,avg_days_late_last_4_quarters,annual_revenue_contribution_usd,credit_rating_note
CUST001,Titan Manufacturing Co,INV-10001,2026-04-10,2026-05-10,184000,Y,25,2400000,
CUST001,Titan Manufacturing Co,INV-10002,2026-05-20,2026-06-19,96000,N,25,2400000,
CUST001,Titan Manufacturing Co,INV-10003,2026-06-10,2026-07-10,52000,N,25,2400000,
CUST002,NovaRetail Group,INV-10004,2026-04-22,2026-05-22,132000,Y,22,1800000,
CUST002,NovaRetail Group,INV-10005,2026-05-18,2026-06-17,88000,N,22,1800000,
CUST002,NovaRetail Group,INV-10006,2026-06-05,2026-07-05,45000,N,22,1800000,
CUST010,Vantage Industrial,INV-10007,2026-05-25,2026-06-24,210000,N,8,2100000,
CUST010,Vantage Industrial,INV-10008,2026-06-15,2026-07-15,98000,N,8,2100000,
CUST003,BlueHarbor Logistics,INV-10009,2026-04-28,2026-05-28,61000,N,35,300000,
CUST003,BlueHarbor Logistics,INV-10010,2026-05-15,2026-06-14,39000,N,35,300000,
CUST003,BlueHarbor Logistics,INV-10011,2026-06-01,2026-07-01,22000,N,35,300000,
CUST004,GreenField Foods,INV-10012,2026-04-30,2026-05-30,47000,N,28,250000,
CUST004,GreenField Foods,INV-10013,2026-05-22,2026-06-21,33000,N,28,250000,
CUST005,Apex Components,INV-10014,2026-05-10,2026-06-09,28000,N,5,180000,
CUST005,Apex Components,INV-10015,2026-06-01,2026-07-01,19000,N,5,180000,
CUST006,Sterling Office Supplies,INV-10016,2026-05-28,2026-06-27,15000,N,3,90000,
CUST006,Sterling Office Supplies,INV-10017,2026-06-10,2026-07-10,9500,N,3,90000,
CUST009,Coastal Distributors,INV-10018,2026-05-05,2026-06-04,26000,N,8,150000,
CUST009,Coastal Distributors,INV-10019,2026-05-30,2026-06-29,17500,N,8,150000,
CUST007,Meridian Textiles,INV-10020,2026-02-20,2026-03-22,78000,Y,50,200000,Downgraded - watchlist
CUST007,Meridian Textiles,INV-10021,2026-03-15,2026-04-14,42000,Y,50,200000,Downgraded - watchlist
CUST008,Fenwick Traders,INV-10022,2026-03-01,2026-03-31,65000,N,48,120000,
CUST008,Fenwick Traders,INV-10023,2026-04-01,2026-05-01,38000,N,48,120000,
CUST011,Riverside Auto Parts,INV-10024,2026-06-08,2026-07-08,21000,N,10,140000,
CUST011,Riverside Auto Parts,INV-10025,2026-06-20,2026-07-20,14000,N,10,140000,
CUST012,Northgate Pharma Distribution,INV-10026,2026-06-12,2026-07-12,31000,N,6,160000,
