entry_id,transaction_date,amount_usd,description,reference,category
1,2024-08-19,250000.00,PAYMENT FROM MIDWEST LOGISTICS INC,INV-011,customer_payment
2,2024-08-19,45000.00,DEPOSIT FROM ACME CORP NORTH,ACME-2024-08,customer_payment
3,2024-08-19,12.50,BANKING SERVICE CHARGES,SERVICE FEE AUG,bank_fee
4,2024-08-20,125000.00,PAYMENT - NORTHERN METALS CORP,INV-014,customer_payment
5,2024-08-20,50000.00,TRANSFER FROM TECH INNOVATIONS INC,TECH-PAY-089,customer_payment
6,2024-08-20,25000.00,PARTIAL PAYMENT ACME CORP,PARTIAL-ACME,customer_payment
7,2024-08-20,8.75,WIRE TRANSFER FEE,WIRE-FEE,bank_fee
8,2024-08-21,230000.00,PAYMENT RECEIVED MIDWEST LOGISTICS,INV-028,customer_payment
9,2024-08-21,75000.00,DEPOSIT SECURED LOGISTICS LTD,INV-021,customer_payment
10,2024-08-21,1000.00,INTEREST EARNED,INTEREST CREDIT,bank_interest
11,2024-08-22,680000.00,PAYMENT NORTHERN METALS CORP,INV-044,customer_payment
12,2024-08-22,95000.00,TECH INNOVATIONS PAYMENT,TECH-2024,customer_payment
13,2024-08-22,6200.00,CUSTOMER REFUND ACME CORP,CREDIT-ACME-001,customer_refund
14,2024-08-23,145000.00,TECH INNOV INC PARTIAL,TECH-PART-01,customer_payment
15,2024-08-23,85000.00,DISTRIBUTION HUB PAYMENT,DIST-HUB-01,customer_payment
16,2024-08-23,500000.00,BULK PAYMENT MIDWEST LOGISTICS,INV-040,customer_payment
17,2024-08-23,20.00,MONTHLY MAINTENANCE FEE,MAINT-FEE,bank_fee
18,2024-08-24,350000.00,PAYMENT BLUE SKY INDUSTRIES,INV-007,customer_payment
19,2024-08-24,55000.00,DEPOSIT WESTERN SUPPLY CO,WSC-PAY-044,customer_payment
20,2024-08-24,15.25,TRANSACTION FEE,TXN-FEE,bank_fee
21,2024-08-25,200000.00,NORTHERN METALS CORP PAYMENT,INV-014-2,customer_payment
22,2024-08-25,75000.00,TECH INNOV INC FINAL PAY,TECH-FINAL,customer_payment
23,2024-08-26,120000.00,ACME CORPORATION PAYMENT,ACM001,customer_payment
24,2024-08-26,45000.00,UNKNOWN COMPANY XYZ,XYZ-REF-001,customer_payment
25,2024-08-26,180000.00,TECH INNOVATIONS - INVOICE 089,TECH-089,customer_payment
