invoice_id,customer_id,customer_name,invoice_date,due_date,amount_usd,industry,payment_terms_days,prior_payment_avg_days,actual_days_late
INV-011,CUST-G,Midwest Logistics,2024-07-30,2024-09-30,250000.00,Logistics,60,55,
INV-014,CUST-I,Northern Metals Corp,2024-07-20,2024-08-20,680000.00,Manufacturing,30,42,
INV-021,CUST-C,Secured Logistics Ltd,2024-08-03,2024-08-18,75000.00,Logistics,15,12,
INV-028,CUST-G,Midwest Logistics,2024-08-05,2024-10-05,230000.00,Logistics,60,55,
INV-040,CUST-I,Northern Metals Corporation,2024-08-12,2024-09-12,500000.00,Manufacturing,30,42,
INV-044,CUST-G,Midwest Logistics Inc,2024-08-10,2024-10-10,680000.00,Logistics,60,55,
INV-001,CUST-A,Acme Corp,2024-07-15,2024-08-15,120000.00,Manufacturing,30,25,
INV-002,CUST-B,BuildCo Inc,2024-07-18,2024-08-18,95000.00,Construction,30,35,
INV-007,CUST-B,Blue Sky Industries,2024-07-12,2024-08-12,350000.00,Manufacturing,30,35,
INV-009,CUST-E,Tech Innovations Inc,2024-08-01,2024-08-31,75000.00,Technology,30,18,
INV-019,CUST-K,Distribution Hub,2024-07-18,2024-08-18,85000.00,Logistics,30,45,
INV-015,CUST-F,Western Supply Co,2024-07-25,2024-09-25,55000.00,Wholesale,60,40,
